TIMESTAMP_START,TA (deg C),TS (deg C),year
2012-01-05,3.4609,1.607,2012
2012-01-06,6.388625,1.9264166666666664,2012
2012-01-07,5.472854166666665,2.9274375,2012
2012-01-08,0.8289583333333331,2.7198124999999997,2012
2012-01-09,2.980937500000001,2.0733750000000004,2012
2012-01-10,3.6755833333333334,2.3430416666666667,2012
2012-01-11,4.729914893617021,2.2760638297872338,2012
2012-01-12,4.758041666666666,3.2801458333333327,2012
2012-01-13,-3.8266041666666664,2.9352500000000004,2012
2012-01-14,-7.471749999999999,2.3592291666666667,2012
2012-01-15,-9.411020833333332,1.9620208333333329,2012
2012-01-16,1.2734166666666669,1.6629166666666668,2012
2012-01-17,5.351652173913042,1.901673913043478,2012
2012-01-18,-3.9441666666666664,1.6940833333333332,2012
2012-01-19,-4.5699375,1.2228749999999997,2012
2012-01-20,-9.628770833333332,1.0842916666666664,2012
2012-01-21,-6.045187499999998,1.0132916666666665,2012
2012-01-22,-1.4491250000000004,0.9615625,2012
2012-01-23,4.988531914893617,0.8974468085106384,2012
2012-01-24,1.0212499999999998,0.8714374999999999,2012
2012-01-25,-0.5110624999999999,0.9176666666666669,2012
2012-01-26,0.48418750000000005,0.9455833333333336,2012
2012-01-27,2.0573333333333337,0.9239999999999996,2012
2012-01-28,1.0970624999999998,0.9502916666666671,2012
2012-01-29,-0.276875,0.9443750000000003,2012
2012-01-30,-1.2564583333333343,0.9547083333333339,2012
2012-01-31,8.053270833333332,0.9669374999999998,2012
2012-02-01,6.112645833333333,1.8993958333333338,2012
2012-02-02,2.4538837209302313,2.2274186046511626,2012
2012-02-03,2.6532083333333327,2.1609999999999996,2012
2012-02-04,1.6567291666666666,2.110083333333334,2012
2012-02-05,1.3443333333333332,1.7139375000000001,2012
2012-02-06,2.7690416666666664,1.7948541666666669,2012
2012-02-07,1.0373749999999997,1.8726666666666671,2012
2012-02-08,-2.6480833333333336,1.3735000000000002,2012
2012-02-09,-0.11258333333333308,1.0270416666666664,2012
2012-02-10,-0.31845833333333334,0.9472291666666667,2012
2012-02-11,-7.076583333333333,0.9278958333333333,2012
2012-02-12,-5.253145833333333,0.8838333333333331,2012
2012-02-13,-1.0643749999999998,0.8680625000000001,2012
2012-02-14,1.0066666666666664,0.8800000000000002,2012
2012-02-15,1.9735208333333334,0.9162083333333335,2012
2012-02-16,3.459541666666666,0.9625416666666666,2012
2012-02-17,2.5551874999999993,1.018458333333333,2012
2012-02-18,1.1712708333333335,1.0793333333333333,2012
2012-02-19,-1.7657291666666672,0.9999583333333333,2012
2012-02-20,-2.4044375000000007,0.8366666666666668,2012
2012-02-21,2.1547499999999995,0.7549583333333333,2012
2012-02-22,2.5650625000000002,0.7286666666666667,2012
2012-02-23,2.045104166666666,0.8159375,2012
2012-02-24,2.2782499999999994,1.0337291666666668,2012
2012-02-25,-0.5044791666666667,0.9828541666666665,2012
2012-02-26,-0.5196666666666668,0.8194583333333333,2012
2012-02-27,3.6568750000000008,0.9267708333333334,2012
2012-02-28,0.7256874999999999,1.1159583333333336,2012
2012-02-29,1.805854166666667,1.1318958333333333,2012
2012-03-01,3.2043333333333344,1.6195833333333332,2012
2012-03-02,4.995770833333332,2.237083333333332,2012
2012-03-03,2.3534583333333337,2.6932916666666666,2012
2012-03-04,-2.430083333333334,1.7829999999999997,2012
2012-03-05,-5.377041666666667,1.1236666666666668,2012
2012-03-06,1.724,0.8235208333333334,2012
2012-03-07,11.37397916666667,1.4384375,2012
2012-03-08,7.994916666666665,3.8960624999999993,2012
2012-03-09,0.25795833333333357,2.874166666666666,2012
2012-03-10,-0.8886458333333334,1.78475,2012
2012-03-11,8.192666666666666,2.3324791666666664,2012
2012-03-12,10.781875000000001,3.6328958333333325,2012
2012-03-13,10.68,5.948687499999999,2012
2012-03-14,11.807208333333335,5.8343750000000005,2012
2012-03-15,15.896250000000007,7.060145833333333,2012
2012-03-16,13.690208333333329,8.795354166666666,2012
2012-03-17,14.02541666666667,9.213395833333333,2012
2012-03-18,16.689999999999998,10.056562500000002,2012
2012-03-19,16.90833333333334,11.042187500000002,2012
2012-03-20,17.707916666666666,11.364479166666664,2012
2012-03-21,20.16666666666666,11.992812499999998,2012
2012-03-22,20.018749999999997,12.5609375,2012
2012-03-23,17.342291666666668,12.666979166666666,2012
2012-03-24,9.1473125,11.356874999999997,2012
2012-03-25,10.801374999999998,10.069375,2012
2012-03-26,2.620562500000001,8.741999999999999,2012
2012-03-27,2.2542708333333326,6.71435416666667,2012
2012-03-28,11.631812499999997,7.840541666666668,2012
2012-03-29,4.643541666666668,7.673624999999998,2012
2012-03-30,2.417916666666667,6.286145833333333,2012
2012-03-31,3.8528541666666656,5.688124999999999,2012
2012-04-01,5.638729166666667,5.876374999999999,2012
2012-04-02,6.739333333333331,6.279062499999999,2012
2012-04-03,8.623604166666668,6.104875,2012
2012-04-04,9.185645833333332,6.862104166666666,2012
2012-04-05,4.443145833333334,6.625583333333332,2012
2012-04-06,6.703541666666669,6.2725624999999985,2012
2012-04-07,8.0444375,6.592916666666668,2012
2012-04-08,10.059937499999998,6.727270833333332,2012
2012-04-09,8.565979166666667,7.091770833333334,2012
2012-04-10,5.260833333333332,6.8477916666666685,2012
2012-04-11,5.653895833333333,6.2426666666666675,2012
2012-04-12,6.9235,6.0497708333333335,2012
2012-04-13,9.106687500000001,6.521354166666669,2012
2012-04-14,10.883958333333338,6.981916666666667,2012
2012-04-15,15.900833333333331,8.839104166666665,2012
2012-04-16,17.63375,10.853125,2012
