TIMESTAMP_START,TA (deg C),TS (deg C),year
2001-01-01,8.095033000000003,9.636210437500003,2001
2001-01-02,8.5805475,9.700175374999997,2001
2001-01-03,8.9226423125,9.78178520833333,2001
2001-01-04,9.231660854166668,9.867524312499997,2001
2001-01-05,8.331607062499996,9.793968479166667,2001
2001-01-06,8.083341437499998,9.832481416666665,2001
2001-01-07,8.695191541666668,9.883916291666667,2001
2001-01-08,8.647885875,9.959550104166667,2001
2001-01-09,8.767054791666666,10.091263833333334,2001
2001-01-10,8.908286520833334,10.100385104166667,2001
2001-01-11,8.532287749999998,10.09850729166667,2001
2001-01-12,8.041774,9.946075875,2001
2001-01-13,8.260313541666667,9.917811625,2001
2001-01-14,8.189108875,9.802928270833332,2001
2001-01-15,7.789214583333337,9.745822854166668,2001
2001-01-16,8.2240404375,9.720606895833335,2001
2001-01-17,8.467087583333333,9.745827958333335,2001
2001-01-18,8.804271395833334,9.889623916666665,2001
2001-01-19,8.765982375,9.8885823125,2001
2001-01-20,8.589954937499996,9.882649916666663,2001
2001-01-21,8.773979999999996,9.970619270833332,2001
2001-01-22,8.521631874999999,9.948152458333334,2001
2001-01-23,8.699451374999997,9.949430000000001,2001
2001-01-24,8.982236083333335,10.104045104166667,2001
2001-01-25,9.868026645833336,10.316243124999998,2001
2001-01-26,9.846211791666667,10.434604770833335,2001
2001-01-27,9.4769201875,10.491644395833331,2001
2001-01-28,8.927261624999998,10.293640624999998,2001
2001-01-29,9.6701180625,10.26214375,2001
2001-01-30,9.870716374999999,10.403721624999998,2001
2001-01-31,9.294949124999999,10.367552791666666,2001
2001-02-01,9.935920166666666,10.3574144375,2001
2001-02-02,9.965866979166664,10.332500958333332,2001
2001-02-03,10.450836833333334,10.456760625000003,2001
2001-02-04,10.635846062499999,10.564488729166667,2001
2001-02-05,10.171106375,10.516591270833334,2001
2001-02-06,10.876415520833332,10.717429124999997,2001
2001-02-07,11.014062520833333,10.927580458333331,2001
2001-02-08,10.585161458333333,10.778956291666665,2001
2001-02-09,10.89400291666667,10.900952666666667,2001
2001-02-10,10.764217083333333,11.076115541666667,2001
2001-02-11,10.823563583333332,11.220179354166667,2001
2001-02-12,11.096421312499999,11.313157958333335,2001
2001-02-13,11.103374958333333,11.442285270833336,2001
2001-02-14,11.117506916666668,11.585203770833331,2001
2001-02-15,10.931071729166666,11.55140275,2001
2001-02-16,11.31286916666667,11.601357104166667,2001
2001-02-17,10.8640278125,11.493351208333332,2001
2001-02-18,9.777762750000003,11.411890520833332,2001
2001-02-19,8.715699104166667,11.197311374999998,2001
2001-02-20,9.243037145833336,11.183230333333329,2001
2001-02-21,9.778817124999998,11.214446812499999,2001
2001-02-22,10.299799854166666,11.236556645833334,2001
2001-02-23,10.3850955625,11.233782395833332,2001
2001-02-24,10.544138916666666,11.254815333333333,2001
2001-02-25,10.631419020833334,11.435215333333332,2001
2001-02-26,10.122392375,11.318435145833334,2001
2001-02-27,10.203103645833334,11.432577354166668,2001
2001-02-28,10.0538830625,11.466949104166666,2001
2001-03-01,10.950281291666665,11.52367708333333,2001
2001-03-02,10.88561225,11.706876687500001,2001
2001-03-03,10.354934041666668,11.693462958333333,2001
2001-03-04,10.689191041666666,11.774433437499999,2001
2001-03-05,11.769349499999999,11.979604145833333,2001
2001-03-06,12.037746562499999,12.218991312500002,2001
2001-03-07,11.311427708333333,12.226894645833335,2001
2001-03-08,11.71476714583333,12.250490833333332,2001
2001-03-09,12.224620124999996,12.43896514583333,2001
2001-03-10,12.7033356875,12.619876166666666,2001
2001-03-11,13.4482001875,12.871305020833331,2001
2001-03-12,13.822015062499995,13.123928312500004,2001
2001-03-13,13.580693229166672,13.25485877083333,2001
2001-03-14,13.56271183333333,13.33508275,2001
2001-03-15,13.540624958333332,13.417380791666664,2001
2001-03-16,13.442685104166666,13.509715874999998,2001
2001-03-17,13.018796229166668,13.543245395833331,2001
2001-03-18,13.05187404166667,13.421755166666665,2001
2001-03-19,13.866606958333328,13.55779339583333,2001
2001-03-20,13.115750062499998,13.71905497916667,2001
2001-03-21,13.068079916666663,13.794758041666668,2001
2001-03-22,12.350849458333336,13.739762729166666,2001
2001-03-23,11.90715625,13.671947895833334,2001
2001-03-24,12.434144729166663,13.714266791666667,2001
2001-03-25,12.275127312499999,13.765882562500002,2001
2001-03-26,12.435820604166665,13.863046354166663,2001
2001-03-27,12.7373390625,13.884181687500005,2001
2001-03-28,13.573409791666665,14.097136520833336,2001
2001-03-29,13.796028958333338,14.268958375000006,2001
2001-03-30,14.63112497916667,14.514357666666669,2001
2001-03-31,14.10102541666666,14.645314791666664,2001
2001-04-01,13.49920025,14.63753927083333,2001
2001-04-02,12.930893520833331,14.547165583333337,2001
2001-04-03,13.19714004166667,14.400711833333332,2001
2001-04-04,12.993428208333333,14.381424791666662,2001
2001-04-05,12.984349604166667,14.416905125000001,2001
2001-04-06,13.387792854166664,14.563087999999999,2001
2001-04-07,13.152042833333335,14.686631895833335,2001
2001-04-08,13.162611083333331,14.6971273125,2001
2001-04-09,13.56975695833333,14.7921944375,2001
2001-04-10,14.094330916666665,14.944290541666662,2001
2001-04-11,13.854107625000003,15.036532416666674,2001
2001-04-12,13.716637750000004,14.981544020833333,2001
2001-04-13,14.151025458333335,15.154703750000005,2001
2001-04-14,13.35333791666666,15.204777791666656,2001
2001-04-15,12.457530958333336,14.9293066875,2001
2001-04-16,13.093374979166668,14.7981274375,2001
2001-04-17,13.575821104166666,14.937774520833331,2001
2001-04-18,14.34673525,15.161506145833334,2001
