TIMESTAMP_START,TA (deg C),TS (deg C),year
2004-06-10,16.097894736842107,21.232105263157894,2004
2004-06-11,23.4865,21.467000000000002,2004
2004-06-12,,,2004
2004-06-13,21.948571428571427,21.405000000000005,2004
2004-06-14,23.342499999999998,21.794791687500005,2004
2004-06-15,21.84291666666667,22.32879854166666,2004
2004-06-16,22.544583333333335,22.335989541666674,2004
2004-06-17,21.01895833333333,21.92031947916666,2004
2004-06-18,18.85270833333333,20.958611104166664,2004
2004-06-19,16.550625,18.991506937500002,2004
2004-06-20,17.336249999999996,18.135736145833334,2004
2004-06-21,19.669791666666665,19.378111104166667,2004
2004-06-22,18.14354166666666,18.999545104166664,2004
2004-06-23,19.461458333333336,18.683194437500003,2004
2004-06-24,20.874375,20.041746520833332,2004
2004-06-25,15.786875000000002,17.963756958333324,2004
2004-06-26,17.861458333333335,17.53272570833333,2004
2004-06-27,18.236250000000002,17.993222250000006,2004
2004-06-28,18.965833333333336,18.983006958333334,2004
2004-06-29,19.491041666666668,18.513878458333334,2004
2004-06-30,21.126875,19.76648958333333,2004
2004-07-01,21.347083333333334,20.911454895833334,2004
2004-07-02,20.786458333333325,21.343249979166668,2004
2004-07-03,20.970625,21.291048625000006,2004
2004-07-04,23.677500000000006,22.230347249999998,2004
2004-07-05,22.05979166666667,21.912961812499997,2004
2004-07-06,21.392291666666665,22.063760437499997,2004
2004-07-07,19.921874999999996,20.727149270833333,2004
2004-07-08,22.965,21.81285070833333,2004
2004-07-09,22.729375000000005,22.383892354166665,2004
2004-07-10,24.034166666666668,22.87696875,2004
2004-07-11,24.08020833333333,23.6158993125,2004
2004-07-12,23.57979166666667,23.090208333333333,2004
2004-07-13,26.494374999999994,24.797083333333333,2004
2004-07-14,22.03895833333333,23.198854166666663,2004
2004-07-15,22.24291666666667,22.067604166666666,2004
2004-07-16,21.206666666666663,22.190479166666663,2004
2004-07-17,20.77104166666666,21.758378479166662,2004
2004-07-18,20.357916666666664,20.9180625,2004
2004-07-19,21.823125000000005,21.142458333333334,2004
2004-07-20,25.328541666666677,23.459875,2004
2004-07-21,25.739375000000006,24.561906250000003,2004
2004-07-22,24.792708333333337,24.748413187499995,2004
2004-07-23,21.82645833333334,23.06527083333333,2004
2004-07-24,16.251249999999995,19.247229166666667,2004
2004-07-25,16.713125,18.20605904166667,2004
2004-07-26,18.292499999999993,18.63829514583333,2004
2004-07-27,18.75604166666667,18.559527770833338,2004
2004-07-28,19.435000000000006,19.04800347916666,2004
2004-07-29,18.73875,19.65427083333334,2004
2004-07-30,17.66125000000001,19.059541666666668,2004
2004-07-31,21.882500000000004,20.365166666666667,2004
2004-08-01,22.355416666666667,21.536791666666673,2004
2004-08-02,21.87291666666667,21.78891666666667,2004
2004-08-03,26.281875000000003,23.705062500000004,2004
2004-08-04,23.30729166666666,22.715208333333333,2004
2004-08-05,20.795416666666664,20.654781250000003,2004
2004-08-06,18.946666666666662,18.732785177777778,2004
2004-08-07,20.494791666666668,18.789958333333335,2004
2004-08-08,21.930625000000003,19.44391666666667,2004
2004-08-09,24.197291666666672,20.882385416666672,2004
2004-08-10,21.238333333333347,20.265291666666666,2004
2004-08-11,17.161041666666662,18.227930562499996,2004
2004-08-12,16.29146341463415,17.143260170731708,2004
2004-08-13,19.36966666666667,17.276822233333334,2004
2004-08-14,18.645405405405413,17.327477486486483,2004
2004-08-15,20.921388888888885,17.795398138888896,2004
2004-08-16,21.98512195121951,18.58842275609756,2004
2004-08-17,24.47104166666668,20.499652770833332,2004
2004-08-18,26.337291666666662,21.77992014583333,2004
2004-08-19,21.09625,20.60216666666667,2004
2004-08-20,16.249166666666667,18.363354166666657,2004
2004-08-21,18.445416666666663,18.599607645833334,2004
2004-08-22,20.912291666666672,19.775979166666666,2004
2004-08-23,19.585208333333334,20.257520833333334,2004
2004-08-24,19.52375,20.203916666666668,2004
2004-08-25,23.57291666666666,21.62717360416667,2004
2004-08-26,28.063541666666666,23.497743083333337,2004
2004-08-27,25.835833333333337,23.479444437500003,2004
2004-08-28,21.437291666666667,21.542048687499996,2004
2004-08-29,19.427083333333332,19.549027770833327,2004
2004-08-30,21.232916666666664,19.33652775,2004
2004-08-31,23.55479166666667,20.17871525,2004
2004-09-01,23.884999999999994,20.57878475,2004
2004-09-02,22.859791666666666,20.461236125,2004
2004-09-03,23.418750000000003,20.467020833333333,2004
2004-09-04,24.63666666666667,21.377010416666664,2004
2004-09-05,25.048333333333343,22.04008333333334,2004
2004-09-06,20.788125000000004,20.638875000000002,2004
2004-09-07,18.642916666666668,18.17395485416667,2004
2004-09-08,18.06770833333334,17.674208333333336,2004
2004-09-09,19.545624999999998,17.932218749999993,2004
2004-09-10,21.31333333333333,18.4289375,2004
2004-09-11,22.581249999999997,19.18290625,2004
2004-09-12,22.434375000000003,19.353333333333335,2004
2004-09-13,23.143541666666668,19.708909729166667,2004
2004-09-14,24.85541666666668,21.40125,2004
2004-09-15,22.9875,21.44125,2004
2004-09-16,20.493750000000002,20.018500000000003,2004
2004-09-17,19.05,17.931062499999992,2004
2004-09-18,19.922083333333333,18.173812499999997,2004
2004-09-19,21.94916666666667,18.757079854166673,2004
2004-09-20,20.35770833333333,17.965770833333334,2004
2004-09-21,20.774791666666662,17.947375000000005,2004
2004-09-22,21.116041666666668,18.2598125,2004
2004-09-23,22.562291666666663,19.191718750000003,2004
2004-09-24,22.073124999999994,19.72472222916667,2004
2004-09-25,21.985833333333343,18.455760416666667,2004
2004-09-26,20.066874999999996,18.01701041666666,2004
